"","longitude","latitude","Bio_1_2006_2016_average","Bio_5_2006_2016_average","Bio_6_2006_2016_average","Bio_11_2006_2016_average","Bio_13_2006_2016_average","Hyde_Year_2005"
"3931",-72.753946,42.837291,7.86477279663086,27.8181819915771,-12.2909088134766,-4.30454540252686,188.727279663086,0.0595808947591104
"6225",-106.905305,40.699593,1.92007577419281,25.5272731781006,-17.2909088134766,-8.60454559326172,73.9181823730469,0.229122722781187
"2663",-80.191135,45.348483,6.03181838989258,25.8909091949463,-15.3000001907349,-7.56212139129639,117.53636932373,0.0301908975213436
"10229",-134.718280038455,58.1496431697722,4.53068208694458,17.2909088134766,-8.81818199157715,-3.04242420196533,200.345458984375,0.0020942698704808
"4996",-73.271536,43.141182,7.2928032875061,27.2909088134766,-13.4000005722046,-5.33484840393066,170.199996948242,0.14412797752753
"1491",-150.75,59.366667,1.10681819915771,14.8000001907349,-14.36363697052,-7.04696989059448,157.781814575195,0.000437302263548324
"1468",-120.402083,39.2508,7.28636360168457,28.2727279663086,-8.42727279663086,-0.196969717741013,326.5,0.0413472747322523
"3051",-99.231949,48.768862,3.19242429733276,26.4090919494629,-22.9363632202148,-13.3893938064575,127.045455932617,0.942295931829033
"6352",-132.256139,53.356861,7.29583358764648,17.3363628387451,-1.172727227211,2.75303030014038,321.872741699219,0.0128213080639421
"8709",-110.61187,44.403591,2.87348484992981,25.009090423584,-14.3181819915771,-7.03939390182495,89.7909088134766,0.0700657332628697
"4166",-73.381548,43.82825,7.44128799438477,27.509090423584,-13.4818181991577,-5.39848518371582,151.836364746094,0.199490803134927
"5378",-85.1493,42.2458,9.79242420196533,28.9454555511475,-8.85454559326172,-2.45000004768372,147.027282714844,0.374212246823033
"2193",-105.241498,39.483364,4.69886350631714,25.5272731781006,-13.6000003814697,-4.40909099578857,89.4000015258789,0.624662840384347
"5851",-90.561768,38.52671,13.2541666030884,32.0272750854492,-6.39090919494629,1.11060607433319,178.69091796875,0.626716761295838
"8836",-110.587449,44.422814,2.87348484992981,25.009090423584,-14.3181819915771,-7.03939390182495,89.7909088134766,0.0700657332628697
"7357",-78.841159,42.951421,8.72803020477295,26.8909091949463,-9.31818199157715,-3.00454545021057,142.699996948242,0.219762225929946
"6443",-121.666667,51.75,4.01666688919067,22.7636375427246,-13.5818185806274,-6.58787870407104,71.4636383056641,0.0103798299465702
